Sector,Sample_Size,MAE,RMSE,Mean_Error,Bias_Index
Trading Companies and Distributors,1,42.496337890625,42.496337890625,42.496337890625,5.050922877564711
Logistics and Transportation,1,41.9912109375,41.9912109375,41.9912109375,4.9908857682453105
Diversified Consumer Services,1,20.20074462890625,20.20074462890625,-20.20074462890625,2.4009693129932996
Media,7,15.802559988839286,23.67147231359743,-8.658551897321429,1.878220941699671
Commercial Services and Supplies,2,14.967620849609375,15.353077311738252,3.418670654296875,1.778983844833475
Telecommunication,1,14.635986328125,14.635986328125,14.635986328125,1.739567262730169
Airlines,1,13.80987548828125,13.80987548828125,13.80987548828125,1.6413794576748184
Life Sciences Tools and Services,5,13.5605224609375,18.898526373287996,13.5605224609375,1.6117424825161093
Utilities,5,12.7138916015625,14.806415973806306,-7.3343994140625,1.5111157605741972
Retail,5,12.42872314453125,14.4865396504249,5.22025146484375,1.4772219251268675
Distributors,2,11.8876953125,15.826737361401062,11.8876953125,1.4129177994104554
Chemicals,4,11.761886596679688,15.148384774020647,-11.761886596679688,1.3979647433949147
Communications,2,11.21246337890625,14.29914194970754,-11.21246337890625,1.3326627800290485
Machinery,4,11.120193481445312,12.248239750233887,-7.0437164306640625,1.321695996557129
Semiconductors,7,10.94677734375,19.656322194507688,4.645368303571429,1.301084537294956
Hotels Restaurants and Leisure,5,10.315966796875,14.307538289365587,9.18173828125,1.2261092434044454
Energy,2,8.83843994140625,10.898322472255842,8.83843994140625,1.0504970714636317
Real Estate,11,8.024009011008523,12.10850730062353,7.448702725497159,0.9536974877176242
Biotechnology,11,7.852616743607954,11.097119933249054,4.2699973366477275,0.9333265765421884
Technology,10,7.216925048828125,10.321178318580573,2.898455810546875,0.8577711314470088
Professional Services,2,6.407196044921875,8.788435633980503,6.015350341796875,0.7615303974575508
Insurance,7,6.104605538504464,9.821698450302852,-1.1756155831473214,0.7255658558697271
Health Care,10,5.459429931640625,7.870979207982653,5.184820556640625,0.6488831957981127
Pharmaceuticals,3,5.172322591145833,5.519134700493966,5.172322591145833,0.6147589134151401
Banking,4,4.663818359375,5.105542602128959,-1.735931396484375,0.5543203960021754
Metals and Mining,1,4.64935302734375,4.64935302734375,4.64935302734375,0.5526011119387756
Unknown,6,4.373697916666667,5.589998506118317,3.1395467122395835,0.5198379898923541
Financial Services,7,3.26715087890625,4.77583992911924,-2.3380562918526784,0.3883188043448732
Aerospace and Defense,1,3.19329833984375,3.19329833984375,-3.19329833984375,0.37954102494945585
Beverages,1,2.59619140625,2.59619140625,2.59619140625,0.30857159038303583
Construction,1,2.323974609375,2.323974609375,2.323974609375,0.2762171307933156
Electrical Equipment,7,1.35882568359375,1.9315796956425364,-1.2508632114955358,0.16150388651254297
Food Products,3,1.1705729166666667,1.5765172366502507,-0.5782877604166666,0.13912901247788817
Consumer products,3,0.6727701822916666,0.7278411374669165,0.19669596354166666,0.07996242673489302
Industrial Conglomerates,1,0.578857421875,0.578857421875,-0.578857421875,0.0688003799885441
Building,1,0.5321044921875,0.5321044921875,0.5321044921875,0.06324353782582534
