Sector,MAE,Bias_Index,Fairness_Status
Trading Companies and Distributors,42.496337890625,5.050922877564711,Potential Bias
Logistics and Transportation,41.9912109375,4.9908857682453105,Potential Bias
Diversified Consumer Services,20.20074462890625,2.4009693129932996,Potential Bias
Media,15.802559988839286,1.878220941699671,Potential Bias
Commercial Services and Supplies,14.967620849609375,1.778983844833475,Potential Bias
Telecommunication,14.635986328125,1.739567262730169,Potential Bias
Airlines,13.80987548828125,1.6413794576748184,Potential Bias
Life Sciences Tools and Services,13.5605224609375,1.6117424825161093,Potential Bias
Utilities,12.7138916015625,1.5111157605741972,Potential Bias
Retail,12.42872314453125,1.4772219251268675,Potential Bias
Distributors,11.8876953125,1.4129177994104554,Potential Bias
Chemicals,11.761886596679688,1.3979647433949147,Potential Bias
Communications,11.21246337890625,1.3326627800290485,Potential Bias
Machinery,11.120193481445312,1.321695996557129,Potential Bias
Semiconductors,10.94677734375,1.301084537294956,Potential Bias
Hotels Restaurants and Leisure,10.315966796875,1.2261092434044454,Potential Bias
Energy,8.83843994140625,1.0504970714636317,Potential Bias
Real Estate,8.024009011008523,0.9536974877176242,Acceptable
Biotechnology,7.852616743607954,0.9333265765421884,Acceptable
Technology,7.216925048828125,0.8577711314470088,Acceptable
Professional Services,6.407196044921875,0.7615303974575508,Acceptable
Insurance,6.104605538504464,0.7255658558697271,Acceptable
Health Care,5.459429931640625,0.6488831957981127,Acceptable
Pharmaceuticals,5.172322591145833,0.6147589134151401,Acceptable
Banking,4.663818359375,0.5543203960021754,Acceptable
Metals and Mining,4.64935302734375,0.5526011119387756,Acceptable
Unknown,4.373697916666667,0.5198379898923541,Acceptable
Financial Services,3.26715087890625,0.3883188043448732,Acceptable
Aerospace and Defense,3.19329833984375,0.37954102494945585,Acceptable
Beverages,2.59619140625,0.30857159038303583,Acceptable
Construction,2.323974609375,0.2762171307933156,Acceptable
Electrical Equipment,1.35882568359375,0.16150388651254297,Acceptable
Food Products,1.1705729166666667,0.13912901247788817,Acceptable
Consumer products,0.6727701822916666,0.07996242673489302,Acceptable
Industrial Conglomerates,0.578857421875,0.0688003799885441,Acceptable
Building,0.5321044921875,0.06324353782582534,Acceptable
